Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",191.329453,-192.650707,274.000000,bottom
"C2","1uF","C_0603_1608Metric",170.379453,-186.400707,290.000000,bottom
"C3","4.7uF","C_0603_1608Metric",185.818238,-186.334286,93.000000,bottom
"C4","10uF","C_0603_1608Metric",189.815035,-178.045774,4.000000,bottom
"C5","0.1uF","C_0603_1608Metric",171.829453,-185.850707,290.000000,bottom
"C6","1uF","C_0603_1608Metric",178.429453,-176.638207,90.000000,bottom
"C7","0.1uF","C_0603_1608Metric",176.829453,-176.650707,90.000000,bottom
"C8","1uF","C_0603_1608Metric",178.216953,-169.550707,180.000000,bottom
"C9","0.1uF","C_0603_1608Metric",178.216953,-167.950707,180.000000,bottom
"C10","1uF","C_0603_1608Metric",183.804453,-153.513207,90.000000,bottom
"C11","0.1uF","C_0603_1608Metric",185.429453,-153.525707,90.000000,bottom
"C12","1uF","C_0603_1608Metric",186.341953,-171.050707,0.000000,bottom
"C13","0.1uF","C_0603_1608Metric",186.341953,-169.450707,0.000000,bottom
"C14","0.1uF","C_0603_1608Metric",189.829453,-170.650707,180.000000,bottom
"C15","1uF","C_0603_1608Metric",188.843871,-194.655640,184.000000,bottom
"C16","0.1uF","C_0603_1608Metric",188.724452,-193.085706,184.000000,bottom
"L3","1uH","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",188.056950,-179.922207,4.000000,bottom
"MUX1","CD74HC4051","TSSOP-16_4.4x5mm_P0.65mm",184.929453,-146.150707,240.000000,bottom
"MUX2","CD74HC4051","TSSOP-16_4.4x5mm_P0.65mm",180.329453,-163.950707,180.000000,bottom
"MUX3","CD74HC4051","TSSOP-16_4.4x5mm_P0.65mm",173.029453,-172.900707,270.000000,bottom
"MUX4","CD74HC4051","TSSOP-16_4.4x5mm_P0.65mm",174.479453,-191.200707,110.000000,bottom
"Q2","Q_PMOS_GSD","SOT-23",194.129453,-166.050707,90.000000,bottom
"R1","10k","R_0603_1608Metric",184.695453,-190.034707,184.000000,bottom
"R2","10k","R_0603_1608Metric",189.741953,-161.350707,180.000000,bottom
"R3","10k","R_0603_1608Metric",189.729453,-162.950707,180.000000,bottom
"R4","390 ohm","R_0603_1608Metric",192.569453,-181.398707,0.000000,bottom
"R5","0-1k","R_0603_1608Metric",180.529453,-201.350707,94.000000,bottom
"R6","10k","R_0603_1608Metric",188.141953,-176.250707,180.000000,bottom
"R7","10k","R_0603_1608Metric",180.229453,-159.800707,180.000000,bottom
"R8","10k","R_0603_1608Metric",194.629453,-140.038207,90.000000,bottom
"R9","10k","R_0603_1608Metric",197.629453,-140.050707,90.000000,bottom
"R10","2.7k","R_0603_1608Metric",192.594953,-184.192707,180.000000,bottom
"R11","100-500 ohm","R_0603_1608Metric",194.044950,-195.550707,5.000000,bottom
"R12","10k","R_0603_1608Metric",190.629453,-172.938207,90.000000,bottom
"R13","10k","R_0603_1608Metric",188.929453,-172.950707,270.000000,bottom
"R14","100k","R_0603_1608Metric",193.729453,-170.663207,90.000000,bottom
"U1","STC4054-4.2","TSOT-23-5",188.529453,-189.850707,273.000000,bottom
"U2","ISM330DLC","Bosch_LGA-14_3x2.5mm_P0.5mm",188.029453,-166.950707,0.000000,bottom
"U3","ADP2108AUJ-3.3","TSOT-23-5",188.179453,-184.150707,93.000000,bottom
"U5","AP9211SA-AN-HAC-7","AP9211SAACHAC7",192.979453,-188.000707,4.000000,bottom
"U6","TCMT1100","SOP-4_4.4x2.8mm_P1.27mm",191.729453,-198.250707,5.000000,bottom
"U7","TCMT1100","SOP-4_4.4x2.8mm_P1.27mm",184.929453,-201.150707,94.000000,bottom
"U8","TCMT1100","SOP-4_4.4x2.8mm_P1.27mm",184.429453,-207.250707,6.000000,bottom
"U9","TCMT1100","SOP-4_4.4x2.8mm_P1.27mm",193.029453,-209.750707,187.000000,bottom
