Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",192.449453,-192.910707,266.000000,bottom
"C2","1uF","C_0603_1608Metric",213.399453,-186.660707,250.000000,bottom
"C3","4.7uF","C_0603_1608Metric",197.960668,-186.594286,87.000000,bottom
"C4","10uF","C_0603_1608Metric",193.963871,-178.305774,176.000000,bottom
"C5","0.1uF","C_0603_1608Metric",211.949453,-186.110707,250.000000,bottom
"C6","1uF","C_0603_1608Metric",205.349453,-176.898207,90.000000,bottom
"C7","0.1uF","C_0603_1608Metric",206.949453,-176.910707,90.000000,bottom
"C8","1uF","C_0603_1608Metric",205.561953,-169.810707,0.000000,bottom
"C9","0.1uF","C_0603_1608Metric",205.561953,-168.210707,0.000000,bottom
"C10","1uF","C_0603_1608Metric",199.974453,-153.773207,90.000000,bottom
"C11","0.1uF","C_0603_1608Metric",198.349453,-153.785707,90.000000,bottom
"C12","1uF","C_0603_1608Metric",197.436953,-171.310707,180.000000,bottom
"C13","0.1uF","C_0603_1608Metric",197.436953,-169.710707,180.000000,bottom
"C14","0.1uF","C_0603_1608Metric",193.949453,-170.910707,0.000000,bottom
"C15","1uF","C_0603_1608Metric",194.935035,-194.915640,356.000000,bottom
"C16","0.1uF","C_0603_1608Metric",195.054454,-193.345706,356.000000,bottom
"L3","1uH","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",195.721956,-180.182207,176.000000,bottom
"MUX1","CD74HC4051","TSSOP-16_4.4x5mm_P0.65mm",198.849453,-146.410707,300.000000,bottom
"MUX2","CD74HC4051","TSSOP-16_4.4x5mm_P0.65mm",203.449453,-164.210707,0.000000,bottom
"MUX3","CD74HC4051","TSSOP-16_4.4x5mm_P0.65mm",210.749453,-173.160707,270.000000,bottom
"MUX4","CD74HC4051","TSSOP-16_4.4x5mm_P0.65mm",209.299453,-191.460707,70.000000,bottom
"Q2","Q_PMOS_GSD","SOT-23",189.649453,-166.310707,90.000000,bottom
"R1","10k","R_0603_1608Metric",199.083453,-190.294707,356.000000,bottom
"R2","10k","R_0603_1608Metric",194.036953,-161.610707,0.000000,bottom
"R3","10k","R_0603_1608Metric",194.049453,-163.210707,0.000000,bottom
"R4","390 ohm","R_0603_1608Metric",191.209453,-181.658707,180.000000,bottom
"R5","0-1k","R_0603_1608Metric",203.249453,-201.610707,86.000000,bottom
"R6","10k","R_0603_1608Metric",195.636953,-176.510707,0.000000,bottom
"R7","10k","R_0603_1608Metric",203.549453,-160.060707,0.000000,bottom
"R8","10k","R_0603_1608Metric",189.149453,-140.298207,90.000000,bottom
"R9","10k","R_0603_1608Metric",186.149453,-140.310707,90.000000,bottom
"R10","2.7k","R_0603_1608Metric",191.183953,-184.452707,0.000000,bottom
"R11","100-500 ohm","R_0603_1608Metric",189.733956,-195.810707,175.000000,bottom
"R12","10k","R_0603_1608Metric",193.149453,-173.198207,90.000000,bottom
"R13","10k","R_0603_1608Metric",194.849453,-173.210707,270.000000,bottom
"R14","100k","R_0603_1608Metric",190.049453,-170.923207,90.000000,bottom
"U1","STC4054-4.2","TSOT-23-5",195.249453,-190.110707,267.000000,bottom
"U2","ISM330DLC","Bosch_LGA-14_3x2.5mm_P0.5mm",195.749453,-167.210707,180.000000,bottom
"U3","ADP2108AUJ-3.3","TSOT-23-5",195.599453,-184.410707,87.000000,bottom
"U5","AP9211SA-AN-HAC-7","AP9211SAACHAC7",190.799453,-188.260707,176.000000,bottom
"U6","TCMT1100","SOP-4_4.4x2.8mm_P1.27mm",192.049453,-198.510707,175.000000,bottom
"U7","TCMT1100","SOP-4_4.4x2.8mm_P1.27mm",198.849453,-201.410707,86.000000,bottom
"U8","TCMT1100","SOP-4_4.4x2.8mm_P1.27mm",199.349453,-207.510707,174.000000,bottom
"U9","TCMT1100","SOP-4_4.4x2.8mm_P1.27mm",190.749453,-210.010707,353.000000,bottom
